Team Name,League,Squad Value
Fenerbahce,Süper Lig,201.45
Galatasaray,Süper Lig,193.63
Besiktas JK,Süper Lig,138.73
Trabzonspor,Süper Lig,98.88
Basaksehir FK,Süper Lig,44.2
Adana Demirspor,Süper Lig,38.63
MKE Ankaragücü,Süper Lig,34.68
Samsunspor,Süper Lig,33.13
Caykur Rizespor,Süper Lig,31.28
Kayserispor,Süper Lig,29.35
Kasimpasa,Süper Lig,27.88
Antalyaspor,Süper Lig,26.98
Hatayspor,Süper Lig,26.75
Konyaspor,Süper Lig,26.5
Alanyaspor,Süper Lig,25.13
Fatih Karagümrük,Süper Lig,24.83
Gaziantep FK,Süper Lig,22.33
Pendikspor,Süper Lig,20.58
Sivasspor,Süper Lig,20.13
Istanbulspor,Süper Lig,7.8
Manchester City,Premier League,1270.0
Arsenal FC,Premier League,1120.0
Chelsea FC,Premier League,928.3
Liverpool FC,Premier League,921.4
Tottenham Hotspur,Premier League,777.3
Manchester United,Premier League,734.25
Aston Villa,Premier League,646.2
Newcastle United,Premier League,637.7
Brighton & Hove Albion,Premier League,505.1
West Ham United,Premier League,446.6
Brentford FC,Premier League,426.08
Crystal Palace,Premier League,404.7
Nottingham Forest,Premier League,369.65
AFC Bournemouth,Premier League,352.8
Everton FC,Premier League,345.4
Wolverhampton Wanderers,Premier League,339.9
Fulham FC,Premier League,338.0
Burnley FC,Premier League,256.1
Sheffield United,Premier League,144.2
Luton Town,Premier League,125.1
Real Madrid,LaLiga,1040.0
FC Barcelona,LaLiga,839.5
Real Sociedad,LaLiga,480.6
Atlético de Madrid,LaLiga,417.8
Athletic Bilbao,LaLiga,261.6
Girona FC,LaLiga,246.8
Valencia CF,LaLiga,215.95
Villarreal CF,LaLiga,213.7
Sevilla FC,LaLiga,212.0
Real Betis Balompié,LaLiga,198.5
Celta de Vigo,LaLiga,112.1
CA Osasuna,LaLiga,99.3
Deportivo Alavés,LaLiga,97.2
UD Las Palmas,LaLiga,96.6
Getafe CF,LaLiga,95.6
Granada CF,LaLiga,87.5
RCD Mallorca,LaLiga,87.1
UD Almería,LaLiga,72.8
Rayo Vallecano,LaLiga,68.6
Cádiz CF,LaLiga,62.1
Inter Milan,Serie A,622.35
AC Milan,Serie A,533.45
SSC Napoli,Serie A,513.15
Juventus FC,Serie A,490.2
Atalanta BC,Serie A,349.6
AS Roma,Serie A,327.65
Bologna FC 1909,Serie A,254.55
ACF Fiorentina,Serie A,248.4
SS Lazio,Serie A,227.63
Torino FC,Serie A,181.4
US Sassuolo,Serie A,140.9
Genoa CFC,Serie A,135.75
Udinese Calcio,Serie A,135.7
AC Monza,Serie A,131.3
Frosinone Calcio,Serie A,103.5
US Lecce,Serie A,80.83
US Salernitana 1919,Serie A,79.4
Cagliari Calcio,Serie A,78.48
FC Empoli,Serie A,68.6
Hellas Verona,Serie A,68.38
Bayern Munich,Bundesliga,929.45
Bayer 04 Leverkusen,Bundesliga,594.55
RB Leipzig,Bundesliga,496.9
Borussia Dortmund,Bundesliga,463.7
VfB Stuttgart,Bundesliga,277.9
Eintracht Frankfurt,Bundesliga,240.85
VfL Wolfsburg,Bundesliga,226.2
SC Freiburg,Bundesliga,188.65
Borussia Mönchengladbach,Bundesliga,185.23
1.FC Union Berlin,Bundesliga,144.65
TSG 1899 Hoffenheim,Bundesliga,144.35
FC Augsburg,Bundesliga,122.55
1.FSV Mainz 05,Bundesliga,102.85
SV Werder Bremen,Bundesliga,97.6
1.FC Köln,Bundesliga,93.55
VfL Bochum,Bundesliga,63.1
1.FC Heidenheim 1846,Bundesliga,61.05
SV Darmstadt 98,Bundesliga,40.85
Paris Saint-Germain,Ligue 1,1020.0
AS Monaco,Ligue 1,347.2
Stade Rennais FC,Ligue 1,274.65
OGC Nice,Ligue 1,261.8
LOSC Lille,Ligue 1,249.5
Olympique Lyon,Ligue 1,238.8
Olympique Marseille,Ligue 1,231.3
RC Lens,Ligue 1,200.85
RC Strasbourg Alsace,Ligue 1,122.65
Stade Reims,Ligue 1,118.1
FC Lorient,Ligue 1,106.25
FC Toulouse,Ligue 1,100.4
Stade Brestois 29,Ligue 1,100.0
Montpellier HSC,Ligue 1,98.6
FC Nantes,Ligue 1,94.65
Le Havre AC,Ligue 1,61.5
Clermont Foot 63,Ligue 1,52.0
FC Metz,Ligue 1,45.7
